stop_id,stop_name,stop_desc,stop_lat,stop_lon,wheelchair_boarding,stop_code
MLK Jr Dr just before Peachtree St,MLK Jr Dr just before Peachtree St,Fulton County Government Center,33.751908,-84.391673,0,102156
Newnan P&R,Newnan Park and Ride,,33.403707,-84.723119,0,400015
North Ave (EB) @ Peachtree St,North Ave at Peachtree St,North AVenue MARTA Station,33.771284,-84.385403,0,400200
Panola Rd P&R,Panola Rd Park and Ride,,33.702198,-84.173405,0,400016
Peachtree Center Ave @ Andrew Young International Blvd,Peachtree Center Ave at Andrew Young International Blvd,,33.759437,-84.385997,0,900786
Peachtree Center Ave @ Auburn Ave,Peachtree Center Ave at Auburn Ave,Loudermilk Center,33.755325,-84.38604,0,600006
Peachtree Center Ave @ John Wesley Dobbs Ave,Peachtree Center Ave at John Wesley Dobbs Ave,Ga-Pacific Bldg,33.756948,-84.386029,0,210155
Peachtree Center Ave between Baker & Peachtree,Peachtree Center Ave between Baker & Peachtree,,33.763522,-84.385911,0,211546
Peachtree St (NB) @ MARTA Five Points Station,Peachtree St at MARTA Five Points Station,,33.753418,-84.390793,0,211645
Peachtree St (NB) @ Renaissance Pkwy,Peachtree St at Renaissance Pkwy,,33.768324,-84.385258,0,400215
Peachtree St @ Baker St,Peachtree St at Baker St,across from SunTrust Plaza,33.762541,-84.387413,0,900725
Peachtree-Dunwoody RD (NB) @ Concourse Pkwy,Peachtree St at Baker St,,33.916067,-84.351139,0,900725
Peachtree-Dunwoody RD (SB) @ Concourse Pkwy,Peachtree St at Baker St,,33.916886,-84.351407,0,900725
Perimeter Center Pkwy (N),Perimeter Center Pkwy (N),,33.927589,-84.34409,0,400304
Perimeter Center Pkwy (S),Perimeter Center Pkwy (S),,33.927486,-84.344202,0,400305
Perimeter Center Pkwy Office Park (N),Perimeter Center Pkwy Office Park (N),,33.925558,-84.345089,0,400306
Perimeter Center Pkwy Office Park (S),Perimeter Center Pkwy Office Park (S),,33.925595,-84.345206,0,400307
Powder Springs P&R,Powder Springs Park and Ride,,33.867511,-84.701564,0,400017
Pryor St (SB) @ Garnett St,Pryor St at Garnett St,,33.748309,-84.393414,0,102028
Pryor St (SB) @ Mitchell St,Pryor St at Mitchell St,,33.750716,-84.391505,0,400104
Pryor St @ MLK Jr Dr,Pryor St at MLK Jr Dr,,33.751614,-84.390932,0,400108
Pryor St @ Wall St,Pryor St at Wall St,,33.753409,-84.389415,0,400109
Publix,GA 141 (N) after Holcomb Bridge Rd,Across from 6135 Peachtree Pkwy(N),33.951771,-84.234281,0,400424
Riverdale P&R,Riverdale Park and Ride,,33.567949,-84.403474,0,400018
Sandy Springs MARTA Station,Sandy Springs MARTA Station,,33.932207,-84.35076,0,
Snellville P&R,Snellville Park and Ride,,33.853791,-84.015445,0,400019
Spring St (NB) @ Brotherton St,Spring St at Brotherton St,,33.74875,-84.397972,0,211005
Spring St @ 17th St,Spring St at 17th St,,33.79032,-84.38942,0,400203
Spring St @ 5th St,Spring St at 5th St,GA Tech Technology Square,33.777025,-84.388905,0,400204
Spring St just before Linden Ave,Spring St just before Linden Ave,One Georgia Center,33.770733,-84.388964,0,400205
Stockbridge P&R,Stockbridge Park and Ride,,33.54817,-84.27899,0,400020
Stone Mountain P&R,Stone Mountain Park and Ride,,33.822414,-84.109955,0,400021
Sugarloaf Mills P&R (GCT),Sugarloaf Mills Park and Ride (GCT),,33.983354,-84.084072,0,60013
Sugarloaf Mills P&R,Sugarloaf Mills Park and Ride,,33.984275,-84.079485,0,400022
Ted Turner (NB) @ West Peachtree Place,Sugarloaf Mills Park and Ride (GCT),,33.763834,-84.388905,0,60013
Ted Turner Dr (NB) @ Mitchell St,Ted Turner Dr at Mitchell St,,33.752209,-84.395785,0,400105
Ted Turner Dr (SB) @ Brotherton St,Ted Turner Dr at Brotherton St,,33.749188,-84.398035,0,102554
Thornton Rd @ Bankhead Hwy N,Thornton Rd (N) at Bankhead Hwy,,33.79756,-84.643586,0,400502
Thornton Rd @ Bankhead Hwy,Thornton Rd (S) at Bankhead Hwy,,33.797346,-84.643672,0,400501
Thornton Rd @ Maxham Rd N,Thornton Rd (N) at Maxham Rd,,33.789759,-84.623791,0,400504
Thornton Rd @ Maxham Rd,Thornton Rd (S) at Maxham Rd,,33.789375,-84.623716,0,400503
