stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2334862,182,,Buford Hwy & N Berkeley Lake Rd Ib,,33.97585,-84.164203,,,0,,America/New_York,,,0
2334863,184,,Buford Hwy & D' Custom Jewelry,,33.914541,-84.261696,,,0,,America/New_York,,,0
2334864,186,,Buford Hwy & East Lake Dr,,33.922996,-84.25242,,,0,,America/New_York,,,0
2334865,187,,Buford Hwy & Gravitt Tr IB,,33.97347,-84.167478,,,0,,America/New_York,,,0
2334866,188,,Buford Hwy & Hillside Dr,,33.929036,-84.236715,,,0,,America/New_York,,,0
2334867,189,,Buford Hwy & Pine St Ob,,33.929579,-84.234346,,,0,,America/New_York,,,0
2334868,190,,Buford Hwy & Jimmy Carter Ob,,33.931556,-84.225795,,,0,,America/New_York,,,0
2334869,191,,Buford Hwy & Jones Mills Rd,,33.925893,-84.247838,,,0,,America/New_York,,,0
2334870,193,,Buford Hwy & Norcross Library,,33.933695,-84.218223,,,0,,America/New_York,,,0
2334871,194,,Buford Hwy & N Norcross Tucker Rd OB,,33.935272,-84.215707,,,0,,America/New_York,,,0
2334872,195,,Buford Hwy & Oakcliff Rd,,33.912028,-84.264163,,,0,,America/New_York,,,0
2334873,196,,Buford Hwy & Simpson Cir,,33.966007,-84.177782,,,0,,America/New_York,,,0
2334874,197,,Buford Hwy & Summerour St Ib,,33.9426,-84.20651,,,0,,America/New_York,,,0
2334875,198,,Buford Hwy & Value Pawn Ob,,33.933004,-84.219843,,,0,,America/New_York,,,0
2334876,199,,Buford Hwy & West Mount Tabor,,33.970857,-84.171066,,,0,,America/New_York,,,0
2334877,200,,Buford Hwy & Woodbine Hill Way,,33.96904,-84.173549,,,0,,America/New_York,,,0
2334878,203,,Burford Hwy At Accu-Car Expo IB,,33.920553,-84.255383,,,0,,America/New_York,,,0
2334879,205,,Buford Hwy & S Cemetery St Ib,,33.938792,-84.211274,,,0,,America/New_York,,,0
2334880,206,,Buford Hwy & Mitchell Rd Ob,,33.940976,-84.208992,,,0,,America/New_York,,,0
2334881,208,,Buford Hwy & Peach Corners Dist Ctr,,33.945984,-84.202629,,,0,,America/New_York,,,0
2334882,209,,Buford Hwy & Button Gwinnett Dr Ib,,33.925875,-84.247395,,,0,,America/New_York,,,0
2334883,210,,Buford Hwy & Cambridge St,,33.951188,-84.196034,,,0,,America/New_York,,,0
2334884,212,,Buford Hwy At Car Z Atlanta Ib,,33.929779,-84.232545,,,0,,America/New_York,,,0
2334885,213,,Buford Hwy At Korean Catholic Church Ib,,33.914449,-84.261306,,,0,,America/New_York,,,0
2334886,215,,Buford Hwy At Global Forum Ob,,33.919256,-84.257175,,,0,,America/New_York,,,0
2334887,216,,Buford Hwy At Global Forum Ib,,33.919089,-84.256918,,,0,,America/New_York,,,0
2334888,217,,Buford Hwy & Gravitt Tr (across) Ob,,33.973837,-84.167419,,,0,,America/New_York,,,0
2334889,218,,Burford Hwy At Green Auto Body Ib,,33.923282,-84.251526,,,0,,America/New_York,,,0
2334890,221,,Burford Hwy At Hillside Dr Ib,,33.928889,-84.236401,,,0,,America/New_York,,,0
2334891,222,,Buford Hwy At Huntington Rd Apts Ib,,33.931734,-84.223983,,,0,,America/New_York,,,0
2334892,226,,Buford Hwy-Jenny's Place,,33.91735,-84.258634,,,0,,America/New_York,,,0
